year,month,subbasin_id,u2,tmin,tmax,rs,rh,eto,pr,station_id,flow_next_month
2014,1,29,1.090297180594361,17.00205360034732,30.296428251476456,25.223723647447297,73.19871306409279,5.1109558885784425,73.42753379924922,58204000,158.3161071429
2014,2,29,1.1368110236220472,17.080853704438407,31.122419914344718,22.568996062992127,69.98500187476566,4.772028496437945,101.2009033478805,58204000,169.0216774194
2014,3,29,1.167767335534671,16.64049130206072,28.316610502764547,18.07037084074168,78.80365760731522,3.6234019134704933,57.091738639484866,58204000,125.8922333333
2014,4,29,1.1174540682414698,14.57402264473403,25.520449096821668,14.977847769028875,80.38495188101486,2.7569553805774274,88.82946256904812,58204000,123.2246451613
2014,5,29,1.0280670561341123,11.41056386720051,23.28432487314309,12.592608585217171,78.91795783591567,2.1077808822284307,23.751792962431722,58204000,162.0989666667
2014,6,29,0.9107611548556429,11.233948111752,22.843338318023214,10.895341207349084,79.25634295713036,1.7702974628171475,16.640217291787433,58204000,151.6078387097
2014,7,29,1.0509271018542037,9.903855209690056,21.12395568449899,10.773444246888495,78.52425704851409,1.780331893997121,33.072145756401255,58204000,124.7491612903
2014,8,29,1.0858521717043432,9.687193481771425,23.753023547491228,15.266459232918466,71.79747692828718,2.609135551604436,22.39219336527604,58204000,122.8021
2014,9,29,1.31496062992126,12.76301360108239,25.894728097035298,17.43014435695538,70.5074365704287,3.344969378827646,39.51765495773185,58204000,122.9100645161
2014,10,29,1.4687579375158748,13.479830382718516,27.03722208056821,20.955359410718824,68.32190331047327,4.1555753111506215,33.6947233497116,58204000,125.7392666667
2014,11,29,1.3261154855643047,15.915758741009755,26.528400864012912,18.5157874015748,77.85214348206473,3.7515748031496057,74.17371135593739,58204000,120.938516129
2014,12,29,1.207772415544831,16.817734929352934,28.12889213544574,21.264465328930658,76.58115316230632,4.333333333333333,111.3475447859126,58204000,108.1184516129
2015,1,29,1.1442722885445773,17.95185524644353,30.369659547978216,22.492443484886973,73.82101430869528,4.753238506477012,85.03448591570786,58204000,148.71275
2015,2,29,1.2078177727784027,17.447787916704815,27.5998718222602,17.41505905511811,81.29452568428945,3.6009561304836892,149.5994445631275,58204000,140.4626419355
2015,3,29,1.1461772923545848,16.892712015859125,26.066746605472133,16.502882905765812,83.6762340191347,3.1902887139107605,172.6989043855098,58204000,108.6466366667
2015,4,29,1.0360892388451444,15.59180137197655,25.071162382207035,14.667165354330711,83.11898512685913,2.663123359580052,46.31107516708881,58204000,93.3694806452
2015,5,29,0.9010668021336042,12.727119239754396,22.121444962821567,10.893370586741176,85.22987045974092,1.8045466090932178,40.11047700430302,58204000,67.81761
2015,6,29,1.0393700787401574,11.24087920434855,21.685371122029952,11.457362204724411,82.55468066491689,1.7646106736657916,33.75652333140047,58204000,72.3370516129
2015,7,29,1.0191770383540766,11.910135459521792,21.95430854081818,11.577457454914912,80.06096012192025,1.8826940987215306,18.791772209845238,58204000,111.3092258065
2015,8,29,1.0750571501143,10.400854058846905,24.44518334240685,16.058648717297434,72.5764118194903,2.71259842519685,12.595751823480962,58204000,108.0428133333
2015,9,29,1.2742782152230971,14.22950936409599,25.51513209428185,15.000538057742785,76.06299212598425,3.015704286964129,66.85155796990871,58204000,95.0175
2015,10,29,1.2560325120650242,16.310628874907255,27.839826064185345,19.349022098044195,75.501651003302,3.909575819151638,47.21060823389387,58204000,116.6617333333
2015,11,29,1.110236220472441,17.918084929620928,26.84229390681004,16.11236220472441,83.09711286089238,3.364304461942257,212.26920377208774,58204000,157.6375806452
2015,12,29,1.0534671069342139,17.98245251336333,27.847268642625306,18.381165862331727,81.41139615612565,3.8275759884853096,225.24948881496627,58204000,189.0439677419
2016,1,29,1.086487172974346,17.498868682135285,26.78013153149428,18.38792227584455,81.6992633985268,3.7219117771568873,249.30112613299966,58204000,137.1277931034
2016,2,29,1.0229432527830573,17.967142790493238,28.583009819593514,18.856502850936735,80.96660331251697,3.870938546474793,179.08948026978365,58204000,174.8203225806
2016,3,29,0.9779019558039117,16.9858820718852,27.185338579891717,16.62956565913132,83.19786639573279,3.2557785115570232,233.48261970885338,58204000,91.1964766667
2016,4,29,0.9350393700787402,15.49552564741627,27.583825868166823,17.330656167979004,76.49606299212599,3.2107611548556427,25.370036927396416,58204000,81.3116451613
2016,5,29,0.99250698501397,12.228098949539778,22.32110820911808,11.721031242062486,82.59249851833037,1.936076538819744,45.141453291421236,58204000,149.9586366667
2016,6,29,0.8897637795275591,9.528756913290133,20.14192124189988,11.593503937007876,82.34908136482939,1.629265091863517,107.52739036225466,58204000,59.796916129
